Token,ShortName,Series,CompanyName,ticksize,Lotsize,DateOfListing,DateOfDeListing,IssuePrice,FaceValue,ISINCode,52WeeksHigh,52WeeksLow,LifeTimeHigh,LifeTimeLow,HighDate,LowDate,Symbol,InstrumentType,PermittedToTrade,IssueCapital,WarningPercent,FreezePercent,CreditRating,IssueRate,IssueStartDate,InterestPaymentDate,IssueMaturityDate,BoardLotQty,Name,ListingDate,ExpulsionDate,ReAdmissionDate,RecordDate,ExpiryDate,NoDeliveryStartDate,NoDeliveryEndDate,MFill,AON,ParticipantInMarketIndex,BookClsStartDate,BookClsEndDate,EGM,AGM,Interest,Bonus,Rights,Dividends,LocalUpdateDateTime,DeleteFlag,Remarks,NormalMarketStatus,OddLotMarketStatus,SpotMarketStatus,AuctionMarketStatus,NormalMarketEligibility,OddLotlMarketEligibility,SpotMarketEligibility,AuctionlMarketEligibility,MarginPercentage,ExchangeCode
757587,MAYVEN,SM,MAYASHEEL VENTURES LIMITED,0.01,1,,,0,10,INE0ZTO01018,63.9,54.2,63.9,54.2,,,,0,0,0,70.2,46.8,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,MAYASHEEL
757597,CATRE1,BE,CAPITAL TRUST LIMITED RE,0.01,1,,,0,10,INE707C20018,0.39,0.02,0.39,0.02,,,,0,0,0,0.4,0.37,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,CAPTRU-RE
757602,INFHEA,SM,INFLUX HEALTHTECH LIMITED,0.01,1,,,0,10,INE0MYZ01012,184,120,184,120,,,,0,0,0,188.7,125.8,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,INFLUX
757614,ARISOL,EQ,ARISINFRA SOLUTIONS LIMITED,0.01,1,,,0,2,INE0H9P01028,208.5,150.92,208.5,152.16,,,,0,0,0,183.58,122.39,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ARISINFRA
757622,SMAPOW,ST,SMARTEN POWER SYSTEMS LIMITED,0.01,1,,,0,10,INE14GK01016,152.8,129.85,152.8,129.85,,,,0,0,0,143.3,129.7,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SMARTEN
757634,STARE1,BE,GACM TECHNOLOGIES LIMITED RE,0.01,1,,,0,10,INE224E20036,0.17,0.01,0.17,0.03,,,,0,0,0,0.18,0.16,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,GATECH-RE1
757641,IWASUP,SM,IWARE SUPPLYCHAIN SERVICES LTD,0.01,1,,,0,10,INE1AII01014,97,70.05,97,70.05,,,,0,0,0,104.55,69.75,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,IWARE
757645,ATHENE,EQ,ATHER ENERGY LIMITED,0.01,1,,,0,1,INE0LEZ01016,357.45,288.15,357.45,288.15,,,,0,0,0,404.4,269.6,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ATHERENERG
757657,TQJ25B,TB,91 Day T Bill 09 Oct 25,0.01,1,,,0,100,IN002025X158,0,0,0,0,,,,0,0,0,103.33,93.48,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,91D091025
757668,HAPSQU,ST,HAPPY SQUARE OUTSOURCING SERV,0.01,1,,,0,10,INE0TLP01015,84.85,69.2,84.85,69.2,,,,0,0,0,75.75,68.55,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,WHITEFORCE
757669,MOTA50,EQ,MOTILAL OSWAL NIF ALPHA 50 ETF,0.01,1,,,0,10,INF247L01FR8,54.14,46.05,54.14,46.05,,,,0,0,0,63.4,42.27,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,MOALPHA50
757672,THA26B,TB,182 Day T Bill 08 Jan 26,0.01,1,,,0,100,IN002025Y156,0,0,0,0,,,,0,0,0,102.16,92.43,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,182D080126
757673,TYG26B,TB,364 Day T Bill 09 Jul 26,0.01,1,,,0,100,IN002025Z153,0,0,0,0,,,,0,0,0,99.46,89.99,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,364D090726
757679,SILOVE,SM,SILKY OVERSEAS LIMITED,0.01,1,,,0,10,INE0SN801015,171,134.45,171,134.45,,,,0,0,0,162.05,108.05,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SILKY
