Token,ShortName,Series,CompanyName,TickSize,LotSize,ScripCode,MarketLot,BCastFlag,AVMBuyMargin,AVMSellMargin,ScripID,ScripName,GroupName,NdFlag,NDSDate,NDEDate,SuspStatus,avmflag,SuspensionReason,Suspensiondate,DateOfListing,DateOfDeListing,IssuePrice,FaceValue,ISINCode,52WeeksHigh,52WeeksLow,LifeTimeHigh,LifeTimeLow,HighDate,LowDate,MarginPercentage,ExchangeCode
543905,ININD,C,INNOKAIZ INDIA LIMITED,16.96,1,543905,0,0,0,0,INNOKAIZ,INNOKAIZ INDIA LIMITED,,,,,,,,,,,16.3,10,INE0LDI01022,57.56,12.2,170.6,12.2,,,,INNOKAIZ
542543,ININFR,DR,ENERGY INFRASTRUCTURE TRUST,98.7,1,542543,0,0,0,0,ENERGYINF,ENERGY INFRASTRUCTURE TRUST,,,,,,,,,,,65.8,101,INE05KD23015,94,79,103,79,,,,ENERGYINF
750825,INIRE1,C,INDIAN INFO & SOFTWARE LTD RE,0.6,1,750825,0,0,0,0,INDINFO-RE,INDIAN INFO & SOFTWARE LTD RE,,,,,,,,,,,0.26,100,INE300B20014,0.72,0.35,0.72,0.35,,,,INDINFO-RE
513617,INLGRA,DR,INLAC GRANSTON,8.92,1,513617,0,0,0,0,,INLAC GRANSTON,,,,,,,,,,,8.08,10,,9.88,1.1,15,0.2,,,,
51237,INLOFS,C,INDOSOLAR LIMITED OFS,344.5,1,51237,0,0,0,0,WAAREEINDO,INDOSOLAR LIMITED OFS,,,,,,,,,,,185.5,10,INE000000237,0,0,0,0,,,,WAAREEINDO
530787,INLPRI,C,INLAND PRINTERS LTD,109.05,1,530787,0,0,0,0,INLANPR,INLAND PRINTERS LTD,,,,,,,,,,,104.79,10,INE055O01033,149.8,38.15,312.5,6.25,,,,INLANPR
937745,INMN10,DR,12% Indel Money Ltd. Nov 26,1057.2,1,937745,0,0,0,0,12IML26A,12% Indel Money Ltd. Nov 26,,,,,,,,,,,704.8,1000,INE0BUS08021,1045.4,881,1045.4,818.2,,,,12IML26A
937747,INMN11,DR,0% Indel Money Ltd. Sep 27,1692.12,1,937747,0,0,0,0,IML27,0% Indel Money Ltd. Sep 27,,,,,,,,,,,1128.08,1000,INE0BUS08039,1505,1098.2,1505,862.1,,,,IML27
938079,INMN12,DR,9% Indel Money Ltd. Jun 23,1200,1,938079,0,0,0,0,9IML23,9% Indel Money Ltd. Jun 23,,,,,,,,,,,800,1000,INE0BUS07502,1000,850,1000,850,,,,9IML23
938081,INMN13,DR,0% Indel Money Ltd. Jun 23,1194,1,938081,0,0,0,0,IML280622,0% Indel Money Ltd. Jun 23,,,,,,,,,,,796,1000,INE0BUS07528,995,832.2,995,832.2,,,,IML280622
938083,INMN14,DR,9.5% Indel Money Ltd.Dec 23,1146.12,1,938083,0,0,0,0,95IML23,9.5% Indel Money Ltd.Dec 23,,,,,,,,,,,764.08,1000,INE0BUS07510,955.1,855,955.1,855,,,,95IML23
938085,INMN15,DR,0% Indel Money Ltd. Dec 23,1296,1,938085,0,0,0,0,IML280622A,0% Indel Money Ltd. Dec 23,,,,,,,,,,,864,1000,INE0BUS07536,1080,825.2,1080,825.2,,,,IML280622A
938087,INMN16,DR,10.55% Indel Money Ltd.Jun 24,1182,1,938087,0,0,0,0,1055IML24A,10.55% Indel Money Ltd.Jun 24,,,,,,,,,,,788,1000,INE0BUS07544,1400,859.4,1400,820.2,,,,1055IML24A
938089,INMN17,DR,0% Indel Money Ltd. Jun 24,1469.76,1,938089,0,0,0,0,IML24B,0% Indel Money Ltd. Jun 24,,,,,,,,,,,979.84,1000,INE0BUS07551,1224.8,914.8,1224.8,813.9,,,,IML24B
938091,INMN18,DR,11% Indel Money Ltd.Jul 27,1032,1,938091,0,0,0,0,11IML27,11% Indel Money Ltd.Jul 27,,,,,,,,,,,688,1000,INE0BUS07569,1070,860,1225,809.9,,,,11IML27
938093,INMN19,DR,0% Indel Money Ltd. Nov 28,1614,1,938093,0,0,0,0,IML28C,0% Indel Money Ltd. Nov 28,,,,,,,,,,,1076,1000,INE0BUS07577,1500,935.2,1500,927,,,,IML28C
938610,INMN20,DR,INDEL MONEY LTD 27JL24,1205.88,1,938610,0,0,0,0,9IML24,INDEL MONEY LTD 27JL24,,,,,,,,,,,803.92,1000,INE0BUS07932,0,0,0,0,,,,9IML24
938612,INMN21,DR,0% INDEL MONEY LTD. JUL 24,1296,1,938612,0,0,0,0,IML24A,0% INDEL MONEY LTD. JUL 24,,,,,,,,,,,864,1000,INE0BUS07924,0,0,0,0,,,,IML24A
938614,INMN22,DR,INDEL MONEY LTD III 23JU25,1200,1,938614,0,0,0,0,1050IML25,INDEL MONEY LTD III 23JU25,,,,,,,,,,,800,1000,INE0BUS07981,0,0,0,0,,,,1050IML25
938616,INMN23,DR,0% INDEL MONEY LTD. JUN 25,1423.2,1,938616,0,0,0,0,IML23623,0% INDEL MONEY LTD. JUN 25,,,,,,,,,,,948.8,1000,INE0BUS07973,0,0,0,0,,,,IML23623
938618,INMN24,DR,INDEL MONEY LTD V 23JL28,1196.4,1,938618,0,0,0,0,1150IML28,INDEL MONEY LTD V 23JL28,,,,,,,,,,,797.6,1000,INE0BUS07940,0,0,0,0,,,,1150IML28
938620,INMN25,DR,0% INDEL MONEY LTD. JUL 28,1074.24,1,938620,0,0,0,0,IML28,0% INDEL MONEY LTD. JUL 28,,,,,,,,,,,716.16,1000,INE0BUS07957,0,0,0,0,,,,IML28
938622,INMN26,DR,0% INDEL MONEY LTD. JUN 29,1354.8,1,938622,0,0,0,0,IML29,0% INDEL MONEY LTD. JUN 29,,,,,,,,,,,903.2,1000,INE0BUS07965,0,0,0,0,,,,IML29
939252,INMN27,DR,INDEL MONEY LIMITEDOP 16FB25,1191.6,1,939252,0,0,0,0,9IML25,INDEL MONEY LIMITEDOP 16FB25,,,,,,,,,,,794.4,1000,INE0BUS07AY5,0,0,0,0,,,,9IML25
939254,INMN28,DR,0% INDEL MONEY LTD. FEB 25,1248.09,1,939254,0,0,0,0,IML25,0% INDEL MONEY LTD. FEB 25,,,,,,,,,,,832.07,1000,INE0BUS07AZ2,0,0,0,0,,,,IML25
939256,INMN29,DR,INDEL MONEY LIMITED 9.7513FB26,1188,1,939256,0,0,0,0,975IML26,INDEL MONEY LIMITED 9.7513FB26,,,,,,,,,,,792,1000,INE0BUS07AX7,0,0,0,0,,,,975IML26
939258,INMN30,DR,0 INDEL MONEY LTD. FEB 26,1282.53,1,939258,0,0,0,0,IML16224,0 INDEL MONEY LTD. FEB 26,,,,,,,,,,,855.03,1000,INE0BUS07AW9,0,0,0,0,,,,IML16224
939260,INMN31,DR,INDEL MONEY LIMITEDOP V 10.75,1191.43,1,939260,0,0,0,0,1075IML27,INDEL MONEY LIMITEDOP V 10.75,,,,,,,,,,,794.29,1000,INE0BUS07AS7,0,0,0,0,,,,1075IML27
939262,INMN32,DR,INDEL MONEY LIMITEDOP VI15FB27,1150.06,1,939262,0,0,0,0,IML160224,INDEL MONEY LIMITEDOP VI15FB27,,,,,,,,,,,766.72,1000,INE0BUS07AU3,0,0,0,0,,,,IML160224
939264,INMN33,DR,INDEL MONEY LIMITED VII 11.50,1217.88,1,939264,0,0,0,0,1150IML29,INDEL MONEY LIMITED VII 11.50,,,,,,,,,,,811.92,1000,INE0BUS07AT5,0,0,0,0,,,,1150IML29
939266,INMN34,DR,0% INDEL MONEY LTD. FEB 30,1395.02,1,939266,0,0,0,0,IML1622024,0% INDEL MONEY LTD. FEB 30,,,,,,,,,,,930.02,1000,INE0BUS07AV1,0,0,0,0,,,,IML1622024
939889,INMN36,DR,10% INDEL MONEY LTD NOV25,1186.65,1,939889,0,0,0,0,10IML25,10% INDEL MONEY LTD NOV25,,,,,,,,,,,791.11,1000,INE0BUS07BB1,0,0,0,0,,,,10IML25
939891,INMN37,DR,0% INDEL MONEY LTD NOV25,1224.12,1,939891,0,0,0,0,IML81124,0% INDEL MONEY LTD NOV25,,,,,,,,,,,816.08,1000,INE0BUS07BH8,0,0,0,0,,,,IML81124
939893,INMN38,DR,10.5% INDEL MONEY LTD MAY26,1141.2,1,939893,0,0,0,0,105IML26,10.5% INDEL MONEY LTD MAY26,,,,,,,,,,,760.8,1000,INE0BUS07BD7,0,0,0,0,,,,105IML26
939895,INMN39,DR,11% INDEL MONEY LTD MAY27,1140.3,1,939895,0,0,0,0,11IML2027,11% INDEL MONEY LTD MAY27,,,,,,,,,,,760.2,1000,INE0BUS07BI6,0,0,0,0,,,,11IML2027
939897,INMN40,DR,0% INDEL MONEY LTD MAY27,1200,1,939897,0,0,0,0,IML081124,0% INDEL MONEY LTD MAY27,,,,,,,,,,,800,1000,INE0BUS07BG0,0,0,0,0,,,,IML081124
