Token,InstrumentName,ShortName,Series,ExpiryDate,StrikePrice,OptionType,CALevel,PermittedToTrade,IssueCapital,WarningQty,FreezeQty,CreditRating,NormalMarketStatus,OddLotMarketStatus,SpotMarketStatus,AuctionMarketStatus,NormalMarketEligibility,OddLotMarketEligibility,SpotMarketEligibility,AuctionMarketEligibility,IssueRate,IssueStartDate,InterestPaymentDate,IssueMaturityDate,MarginPercentage,MinimumLotQty,LotSize,TickSize,CompanyName,ListingDate,ExpulsionDate,ReAdmissionDate,RecordDate,LowPriceRange,HighPriceRange,SecurityExpiryDate,NoDeliveryStartDate,NoDeliveryEndDate,MF,AON,ParticipantInMarketIndex,BookClsStartDate,BookClsEndDate,ExcerciseStartDate,ExcerciseEndDate,OldToken,AssetInstrument,AssetName,AssetToken,IntrinsicValue,ExtrinsicValue,ExcerciseStyle,EGM,AGM,Interest,Bonus,Rights,Dividends,ExAllowed,ExRejectionAllowed,PlAllowed,IsThisAsset,IsCorpAdjusted,LocalUpdateDatetime,DeleteFlag,Remarks,BasePrice,ExchangeCode
1141029,OPTIND,BSESEN,OPTION,29-Jul-2025,87300,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,20,5,BSE SENSEX,,,,,2190.75,7789.55,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8257091,SENSEX
1141035,OPTIND,BANKEX,OPTION,29-Jul-2025,64300,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,1170,0,30,5,BANKEX,,,,,0.05,2282.85,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6343444,BANKEX
1141036,OPTIND,BANKEX,OPTION,29-Jul-2025,66600,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,30,5,BANKEX,,,,,862.3,5081.9,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6298174,BANKEX
1141040,OPTIND,BANKEX,OPTION,29-Jul-2025,68900,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,30,5,BANKEX,,,,,3085.45,7449.25,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6298174,BANKEX
1141042,OPTIND,BSESEN,OPTION,29-Jul-2025,74300,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,20,5,BSE SENSEX,,,,,5169.7,10818,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8028838,SENSEX
1141046,OPTIND,BSESEN,OPTION,29-Jul-2025,76600,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,20,5,BSE SENSEX,,,,,2876.35,8517.25,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8028838,SENSEX
1141047,OPTIND,BSESEN,OPTION,29-Jul-2025,78900,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,20,5,BSE SENSEX,,,,,436.6,6143.25,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8028838,SENSEX
1141048,OPTIND,BSESEN,OPTION,29-Jul-2025,81300,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,8680,0,20,5,BSE SENSEX,,,,,0.05,958.35,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8218681,SENSEX
1141049,OPTIND,BSESEN,OPTION,29-Jul-2025,83600,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,700,0,20,5,BSE SENSEX,,,,,0.05,3420,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8218681,SENSEX
1141050,OPTIND,BSESEN,OPTION,29-Jul-2025,85900,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,20,5,BSE SENSEX,,,,,722.5,5675.4,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8343289,SENSEX
