ShortName,CompanyName,ISINCode,ExchangeCode
ADAOFS,ADANI POWER OFS,INE000000005,ADANIPOWER
ADAPLA,ADARSH PLANT PROJECT LTD,INE627D01016,ADARSHPL
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,ADANIPORTS
ADAPOW,ADANI POWER LIMITED,INE814H01011,ADANIPOWER
ADATRA,ADANI ENERGY SOLUTIONS LIMITED,INE931S01010,ADANIENSOL
ADAWIL,AWL AGRI BUSINESS LIMITED,INE699H01024,AWL
ADCCAP,ADCON CAPITAL SERVIC,INE805Q01028,ADCON
ADCIND,ADC INDIA COMMUNICATIONS LIMIT,INE833A01016,ADCINDIA
ADCINF,CEINSYS TECH LIMITED,INE016Q01014,CEINSYSTECH
ADCMED,ADCOUNTY MEDIA INDIA LIMITED,INE0W1601012,ADCOUNTY
ADCOFS,CEINSYS TECH LIMITED OFS,INE000000160,CEINSYSTECH
ADCPP1,ADCON CAPITAL SER PP RS 1,IN9805Q01018,ADCONPP
ADCRE1,ADCON CAPITAL SER RIGHTS ISSUE,INE805Q20010,ADCON-RE
ADDIND,ADDI INDUSTRIES LTD,INE757C01021,ADDIND
ADDLIF,ADD-LIFE PHARMA,INE124C01016,ADDLP
ADDPRO,ADD SHOP E RETAIL LIMITED,INE01B501018,ASRL
ADDRE1,ADD SHOP RETAIL LTD RIGHTS ENT,INE01B520018,ASRL-RE
ADECOT,ACIL COTTON INDUSTRIES LIMITED,INE066C01035,ACIL
ADEMED,ADESHWAR MEDITEX LIMITED,INE0H8J01015,ADESHWAR
ADEOF1,ADANI ENTERPRISES LIMITED OFS,INE000000013,ADANI
ADEOFS,ADANI ENTERPRISES LIMITED OFS,INE000000011,ADANIENTE
ADFFOO,ADF FOODS LIMITED,INE982B01027,ADFFOODS
ADGOFS,ADANI GREEN ENERGY LIMITED OFS,INE000000139,ADANIGREEN
ADHCAP,ADHARSHILA CAP SERVICES LTD,INE269F01012,ADHARSHILA
ADHIND,INCREDIBLE INDUSTRIES LTD,INE452L01012,INCREDIBLE
ADHINF,ADHBHUT INFRASTRUCTURE LIMITED,INE578L01014,ADHBHUTIN
ADHMET,ADHUNIK METALIKS LTD,INE400H01019,ADHUNIK
ADHSYN,ADHUNIK SYNTHETICS,,
ADHYAR,ADHUNIK YARNS,,
ADIAMC,ADITYA BIRLA SUN LIFE AMC LTD,INE404A01024,ABSLAMC
ADIBI,ADITYA BIRLA CHEMICALS (INDIA),INE605B01016,ABCIL
ADIBIO,ADINATH BIO-LABS LTD,INE129D01039,ADINATHBI
ADIBIR,ADITYA BIRLA NUVO LIMITED,INE069A01017,ABIRLANUVO
ADICAP,ADITYA BIRLA CAPITAL LIMITED,INE674K01013,ABCAPITAL
ADICON,ADITYA CONSUMER MARKETING LTD,INE427V01013,ACML
ADIEXI,TRUSTEDGE CAPITAL LIMITED,INE398H01015,TRUSTEDGE
ADIFAS,ADITYA BIRLA FASHION & RTL LTD,INE647O01011,ABFRL
ADIFIN,PRIVI SPECIALITY CHEMICALS LTD,INE959A01019,PRIVISCL
ADIFOR,ADITYA FORGE LTD,INE281H01013,ADTYFRG
ADIGEA,ARIS INTERNATIONAL LTD,INE588E01026,ARISINT
ADIHEA,ADITYA BIR SUN  NIF HEALTH ETF,INF209KB10C2,HEALTHY
ADIINT,ADITYA INTERNATIONAL LTD,INE908B01014,
ADIISP,ADITYA ISPAT LTD,INE570B01012,ADITYA
ADILIF,ADITYA BIRLA LIFESTYLE BRANDS,INE14LE01019,ABLBL
ADILOH,ADISHAKTI LOHA AND ISPAT LTD,INE0CWK01019,ADISHAKTI
ADIMOM,ADITYA BIRLA NIF 200 MOM ETF,INF209KB14K7,MOMENTUM
